maneuver,mux,muy,sigx,sigy,time
5,112.78186,-8.177381,0.010180528,0.035623204,4.6000000000000005
5,115.87139,-8.481093,0.0100706285,0.035049066,4.800000000000001
5,118.85,-8.835959,0.01017978,0.0354084,5.0
5,122.09005,-9.278703,0.0104145305,0.03584827,5.2
5,126.12854,-9.779092,0.010881295,0.036388516,5.4
5,131.77455,-10.401924,0.01145894,0.037228964,5.6000000000000005
5,138.21593,-11.133662,0.011252129,0.036864515,5.800000000000001
5,143.46541,-11.761989,0.010559043,0.035194702,6.0
5,146.4514,-12.143417,0.009997396,0.034020342,6.2
5,147.87679,-12.326162,0.009642026,0.033465493,6.4
5,148.6277,-12.411181,0.009407008,0.03315316,6.6000000000000005
5,149.09761,-12.450799,0.009235249,0.032930512,6.800000000000001
5,149.43794,-12.469039,0.009098887,0.032755613,7.0
5,149.70912,-12.477166,0.008985141,0.032613043,7.2
5,149.93732,-12.480502,0.008887714,0.032494526,7.4
5,150.1354,-12.481556,0.008803055,0.032395102,7.6000000000000005
5,150.31076,-12.481521,0.0087288115,0.032311577,7.800000000000001
5,150.4681,-12.48095,0.008663312,0.032241788,8.0
5,150.61026,-12.480052,0.008605359,0.032184266,8.200000000000001
5,150.7389,-12.478834,0.008554012,0.03213809,8.4
5,150.85458,-12.477183,0.008508588,0.032102875,8.6
5,150.95699,-12.474902,0.008468593,0.03207847,8.8
5,151.04549,-12.471765,0.0084336465,0.032064904,9.0
5,151.1192,-12.467551,0.008403451,0.032062322,9.200000000000001
5,151.1776,-12.462102,0.008377781,0.032070808,9.4
5,151.22069,-12.45534,0.008356459,0.032090504,9.600000000000001
5,151.24911,-12.447291,0.008339351,0.032121442,9.8
6,-7.7837353,0.774077,0.5529553,0.9383811,0.0
6,-7.1126924,-1.4832273,0.5137502,1.3695452,0.2
6,0.8290117,-0.42491612,0.38373855,1.2582178,0.4
6,5.9073157,-0.37363502,0.35070735,1.2068055,0.6000000000000001
6,10.097836,-0.38931337,0.30439523,1.0765249,0.8
6,13.559267,-0.16771618,0.25324908,0.9067595,1.0
6,16.054377,0.06603844,0.21283668,0.7573514,1.2000000000000002
6,18.289986,0.0200819,0.18122305,0.6130171,1.4000000000000001
6,20.827185,-0.1692904,0.15750659,0.49363583,1.6
6,23.600193,-0.3470966,0.13936675,0.42394784,1.8
6,26.253454,-0.5236257,0.12693602,0.3752467,2.0
6,28.792007,-0.65895605,0.12135994,0.33941314,2.2
6,31.520414,-0.71899164,0.11237891,0.30145013,2.4000000000000004
6,34.782654,-0.63220143,0.09672719,0.26041472,2.6
6,37.75147,-0.40503806,0.087012514,0.23674615,2.8000000000000003
6,40.53698,-0.3962189,0.08054191,0.22679922,3.0
6,43.50244,-0.41911638,0.07680809,0.22251503,3.2
6,47.015663,-0.52455115,0.07982717,0.23334037,3.4000000000000004
